secret_id<number>,	id<number>,	zvrst<tag>,	opis<text>
"1",	"41101",	"Monitor",	"Sony 21'"
"2",	"41102",	"Monitor",	"Philips 19'"
"3",	"41103",	"Monitor",	"Philips 19'"
"4",	"41104",	"Monitor",	"Philips 19'"
"5",	"41105",	"Monitor",	"Philips 19'"
"6",	"41106",	"Monitor",	"Philips 19'"
"7",	"41107",	"Monitor",	"Philips 19'"
"8",	"41108",	"Monitor",	"IBM 21'"
"9",	"41109",	"Monitor",	"IBM 21'"
"10",	"41110",	"Monitor",	"Sony 21'"
"11",	"41111",	"Monitor",	"Sony 21'"
"12",	"41112",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"13",	"41113",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"14",	"41114",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"15",	"41115",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"16",	"41116",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"17",	"41117",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"18",	"41118",	"Monitor",	"Iiyama Vision Master Pro 1413 17'"
"19",	"41119",	"Monitor",	"Iiyama Vision Master Pro 1402 17'"
"20",	"41120",	"Monitor",	"Iiyama Vision Master Pro 1402 17'"
"21",	"41121",	"Monitor",	"Iiyama Vision Master Pro 1402 17'"
"22",	"41122",	"Monitor",	"Iiyama Vision Master Pro 1402 17'"
"23",	"41209",	"Monitor",	"LCD Compaq 15'"
"24",	"41210",	"Monitor",	"LCD Compaq 15'"
"25",	"41211",	"Monitor",	"LCD Compaq 15'"
"26",	"41212",	"Monitor",	"LCD Compaq 15'"
"27",	"41213",	"Monitor",	"LCD Compaq 15'"
"28",	"41214",	"Monitor",	"LCD Compaq 15'"
"29",	"41201",	"Monitor",	"LCD Samsung  17'"
"30",	"41202",	"Monitor",	"LCD Samsung  17'"
"31",	"41203",	"Monitor",	"LCD Samsung  17'"
"32",	"41204",	"Monitor",	"LCD Samsung  17'"
"33",	"41205",	"Monitor",	"LCD Samsung  17'"
"34",	"41206",	"Monitor",	"LCD Samsung  17'"
"35",	"41207",	"Monitor",	"LCD Samsung  17'"
"36",	"41208",	"Monitor",	"LCD Samsung  17'"
"37",	"42101",	"razno",	"P1 / 16-32 MB RAM / S3 video / 100Mbit / diskless / floppy"
"38",	"42102",	"razno",	"P1 / 16-32 MB RAM / S3 video / 100Mbit / diskless / floppy"
"39",	"42103",	"razno",	"P1 / 16-32 MB RAM / S3 video / 100Mbit / diskless / floppy"
